domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,1995,01, 687189
marine,0,36,0,0,1995,02, 643853
marine,0,36,0,0,1995,03, 702570
marine,0,36,0,0,1995,04, 693925
marine,0,36,0,0,1995,05, 731764
marine,0,36,0,0,1995,06, 721326
marine,0,36,0,0,1995,07, 754507
marine,0,36,0,0,1995,08, 769257
marine,0,36,0,0,1995,09, 743061
marine,0,36,0,0,1995,10, 752193
marine,0,36,0,0,1995,11, 727691
marine,0,36,0,0,1995,12, 719262
marine,0,36,0,0,1996,01, 704851
marine,0,36,0,0,1996,02, 679485
marine,0,36,0,0,1996,03, 759138
marine,0,36,0,0,1996,04, 752459
marine,0,36,0,0,1996,05, 792247
marine,0,36,0,0,1996,06, 777808
marine,0,36,0,0,1996,07, 786248
marine,0,36,0,0,1996,08, 801718
marine,0,36,0,0,1996,09, 756422
marine,0,36,0,0,1996,10, 777723
marine,0,36,0,0,1996,11, 733564
marine,0,36,0,0,1996,12, 718616
marine,0,36,0,0,1997,01, 717513
marine,0,36,0,0,1997,02, 653193
marine,0,36,0,0,1997,03, 731058
marine,0,36,0,0,1997,04, 694187
marine,0,36,0,0,1997,05, 725705
marine,0,36,0,0,1997,06, 694888
marine,0,36,0,0,1997,07, 744166
marine,0,36,0,0,1997,08, 751258
marine,0,36,0,0,1997,09, 703720
marine,0,36,0,0,1997,10, 726917
marine,0,36,0,0,1997,11, 684307
marine,0,36,0,0,1997,12, 673507
marine,0,36,0,0,1998,01, 574974
marine,0,36,0,0,1998,02, 546491
marine,0,36,0,0,1998,03, 614662
marine,0,36,0,0,1998,04, 619317
marine,0,36,0,0,1998,05, 654617
marine,0,36,0,0,1998,06, 659909
marine,0,36,0,0,1998,07, 705750
marine,0,36,0,0,1998,08, 708271
marine,0,36,0,0,1998,09, 668731
marine,0,36,0,0,1998,10, 692815
marine,0,36,0,0,1998,11, 658532
marine,0,36,0,0,1998,12, 648470
marine,0,36,0,0,1999,01, 655909
marine,0,36,0,0,1999,02, 632952
marine,0,36,0,0,1999,03, 711863
marine,0,36,0,0,1999,04, 699879
marine,0,36,0,0,1999,05, 748632
marine,0,36,0,0,1999,06, 729291
marine,0,36,0,0,1999,07, 753703
marine,0,36,0,0,1999,08, 754117
marine,0,36,0,0,1999,09, 739597
marine,0,36,0,0,1999,10, 779920
marine,0,36,0,0,1999,11, 752148
marine,0,36,0,0,1999,12, 739441
